BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
b2c7a4ce-b83d-4e0f-b332-bcf264e9ea82,881,0.119,5,approved,0,0
4e00b805-d689-4acb-81a5-87860157a897,997,0.003,5,approved,0,0
46ac9c40-6d9c-47e1-8348-735b9a50048a,686,0.314,5,approved,0,0
4bcc781a-72fb-4dcd-aa4e-1ba391a423cf,800,0.2,5,approved,0,0
403fe819-1a89-400f-a04d-1d4543f16e97,804,0.196,5,approved,0,1
c3f74d67-49db-48cd-bee2-c1f9c6b718e7,910,0.09,5,approved,0,0
f4dbcd4d-40f6-45cb-b3a2-e5105265babd,637,0.363,4,approved,0,0
54422f9e-fedc-4bbb-9022-172b509cdb0e,849,0.151,5,approved,0,1
5d2ae11e-c334-4289-88a5-dc34f64cdc53,567,0.433,3,approved,0,0
ab034bf3-6f04-4329-818b-f7068db9bec1,892,0.108,5,approved,0,0
3a29e336-b97d-4c4d-bebe-e91684844515,590,0.41,4,approved,0,0
55376fe7-e2c4-4468-861c-ef8baeedbfb8,544,0.456,3,approved,0,0
9a4dbc35-c5c9-49be-bdbd-44ab152158d6,753,0.247,5,approved,0,0
37e98072-76d3-4ea2-8a29-5b13ca253dd0,997,0.003,5,approved,0,0
c75df2f8-cd68-4c74-a5ad-a2ad9bc5ab1d,527,0.473,2,approved,0,0
c5a6f0f7-f132-48a0-96df-c6c41fcd87cb,605,0.395,4,approved,0,0
8a67470b-ba91-498a-b0b0-522902a6f714,591,0.409,4,approved,0,0
b67f542f-14ae-4907-af19-6829467cd220,845,0.155,5,approved,0,0
2a4abb5e-75fe-4d5a-8acc-e4102bb31e50,916,0.084,5,approved,0,0
3cfac805-70ff-4c98-b123-24ea11db0b71,621,0.379,4,approved,0,0
81bb06a5-41e2-402a-9bd7-9bbefabe5722,650,0.35,4,approved,0,0
d16377e8-3754-4802-ae2e-8a050eaab420,412,0.588,1,denied,1,0
95bf72af-d94d-48aa-97da-0ae12b2b5cba,890,0.11,5,approved,0,0
3435a44d-e715-4372-8613-923c64b72d06,746,0.254,5,approved,0,0
b1f8dd2b-a953-4814-9b2b-e44675c17b1c,746,0.254,5,approved,0,0
1332dca9-4765-4e82-9f64-bb73e60ee317,829,0.171,5,approved,0,1
b125a281-736e-417e-b9ae-7d9d96c16bf9,677,0.323,5,approved,0,0
69523c20-63a3-451e-ae42-1e7f92ac1f54,992,0.008,5,approved,0,0
b3f45fc6-c98f-4729-8ad6-fbebf9d81325,610,0.39,4,approved,0,0
c806e19e-e68a-476d-bee4-9ddc8a8a9776,912,0.088,5,approved,0,0
c5c9488b-881c-459c-a2c9-6173187d511e,820,0.18,5,approved,0,0
dcb354f6-b249-4da4-b1bd-81637070c3f4,814,0.186,5,approved,0,0
f287f9e1-1159-4509-bd4f-9e0fdfb8fbe7,717,0.283,5,approved,0,0
37d83556-6904-416e-bedd-6b6100d6694c,781,0.219,5,approved,0,0
5421385d-6ce2-4110-9de0-022cf40cdda5,648,0.352,4,approved,0,0
1dc3e5f8-5e45-4cfb-a5b3-f9ecb9521a03,682,0.318,5,approved,0,0
07efc63c-3e47-4fa5-815b-27233000ed78,934,0.066,5,approved,0,0
5abb6b7c-0b68-4220-a715-9d76a9cca3de,686,0.314,5,approved,0,0
00bf995a-0c63-4213-9673-d3a000e4f4a3,557,0.443,3,approved,0,1
