BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
56b1e9eb-8bba-4f0b-966f-84f1b05d05ae,710,0.29,5,approved,0,0
521c5ecc-5ba8-49f4-ba4f-2486b37be0fa,731,0.269,5,approved,0,0
c6e7762a-f024-4254-b217-6d11cefa9664,891,0.109,5,approved,0,0
89cae7a0-2b2a-4bc1-ab85-9dc3c1e99bec,777,0.223,5,approved,0,0
12164b74-9cf3-4042-a8e9-dad53bb06048,574,0.426,3,approved,0,0
5f3ab317-2a39-4af0-aa83-dc894822072a,529,0.471,2,approved,0,0
bb3c3682-3160-464c-a0f1-dd30f2abf575,920,0.08,5,approved,0,0
6a9b990a-4eda-4b6d-b489-52382e4f92d3,551,0.449,3,approved,0,0
894a2869-5ee8-4a9d-8ac3-3f284ad3fda1,699,0.301,5,approved,0,0
5dae092a-3541-49ee-8878-be9f8b6b7be8,642,0.358,4,approved,0,0
01d3652d-8eee-4f40-b6b0-dec55f7ed159,648,0.352,4,approved,0,1
6765bfbc-65a3-40db-8f38-7c1d1bb75490,613,0.387,4,approved,0,0
b780424d-9f97-4ee6-b4e9-413e1fa985e7,551,0.449,3,approved,0,0
b2d1efe7-48f2-442e-a4b9-b7bb270fb7b3,659,0.341,5,approved,0,0
ca48733d-2470-45a7-9bd8-31bed3565654,701,0.299,5,approved,0,0
a3b72bde-a010-4cb0-945d-c570fde38003,647,0.353,4,approved,0,0
b9fc5e5e-f0fe-43d4-b918-1c9ae54e2531,626,0.374,4,approved,0,0
db5cdb61-52e6-4d7a-aa92-c8d80742454b,908,0.092,5,approved,0,0
94a23878-9f4b-4a41-ba16-e18884d43e9c,660,0.34,5,approved,0,0
dc792ae8-8c62-435f-8c81-76e81cc294a9,606,0.394,4,approved,0,0
ed79e407-0277-451b-b410-de7f35e30824,602,0.398,4,approved,0,0
17408ca4-41f2-4dba-af87-d5b154590c8e,574,0.426,3,approved,0,0
e1937449-709d-442d-a4c9-ec8e60d05d41,580,0.42,3,approved,0,0
c684e513-26af-4feb-af9f-16e7057e7fc2,679,0.321,5,approved,0,0
b2a1f23c-3cd8-41e8-a0f0-f1f1aedcf4a2,641,0.359,4,approved,0,0
36cf9b11-9701-4528-aea0-fb14bf31d0e5,941,0.059,5,approved,0,0
bd2d8569-9c40-49c6-b060-e7c31cda2908,646,0.354,4,approved,0,0
751967e6-b0ab-4082-80d6-133385d17407,867,0.133,5,approved,0,0
29c15105-3a75-4031-913f-5efd3a407f62,614,0.386,4,approved,0,0
bd495a64-2d61-4cbe-8ad2-2dacdffcc1b2,744,0.256,5,approved,0,0
63da94b8-84ce-400e-987a-3f447ee45a0a,938,0.062,5,approved,0,0
4fde7355-f0c7-49b2-88c6-058d3de91b61,569,0.431,3,approved,0,0
470c2fe3-7c0a-4cf8-a73d-9663058f1995,770,0.23,5,approved,0,1
93237716-a5f6-43a7-8c30-86228b0099a3,576,0.424,3,approved,0,0
af36bcc3-d650-4ad7-8a6c-f1af034d081b,648,0.352,4,approved,0,1
e498a08a-3a58-4979-944d-aef35628427d,855,0.145,5,approved,0,0
7814be3b-e69e-422f-a3a8-388ac3addb03,750,0.25,5,approved,0,1
15ffbc6b-6005-41f3-af31-903bc1b48f92,798,0.202,5,approved,0,0
39f5475f-1d74-40dc-983b-d8070d5462ad,706,0.294,5,approved,0,0
71ce4fd8-e1b4-4494-8bde-08ab5fa9c61b,780,0.22,5,approved,0,0
0a520b03-a4be-4255-a961-0bb2a934b190,645,0.355,4,approved,0,0
32f0dbae-dfdb-4747-bb12-12c3499eda44,819,0.181,5,approved,0,0
9025dff3-131f-4d3a-bb54-b4755d800b3d,662,0.338,5,approved,0,0
bcfde6c7-8e5c-4cbe-8188-6841998c7bde,822,0.178,5,approved,0,0
efe8f866-4a39-4550-82c9-77dcec91cdd1,653,0.347,4,approved,0,0
5e76785d-859b-47aa-856d-05bbad183b3f,812,0.188,5,approved,0,0
b166d58e-4743-47cb-9b89-bb339aac4ef6,739,0.261,5,approved,0,0
a96d9797-be34-4688-8eb4-30fb05491f89,705,0.295,5,approved,0,0
c94a25d3-b96b-4ed6-a47f-72eca5ef4b22,671,0.329,5,approved,0,0
56319748-c486-422b-af01-1c50f7d2d3b4,656,0.344,5,approved,0,0
f5140218-2526-4e16-931c-a9aac697cace,866,0.134,5,approved,0,0
89c6b8b4-db3e-48e0-9f8d-e0be53b47ffb,566,0.434,3,approved,0,0
7ee971d3-b53e-463f-86b7-fb1682390471,597,0.403,4,approved,0,0
bbd345ad-3fe9-4a64-b95d-92cea89d1c87,810,0.19,5,approved,0,0
ab38e253-a341-420e-ac02-1067786fc38d,593,0.407,4,approved,0,1
76a63fe5-4f8d-47fa-a408-8a6350ce93ab,877,0.123,5,approved,0,0
c60675d9-d7ae-4ec9-9d0c-39babf42acb7,666,0.334,5,approved,0,0
d0c2c2fc-4caa-4e4b-b7b1-43b13d699361,661,0.339,5,approved,0,0
a8e1865b-0204-4e35-829a-f9c01fa3173d,694,0.306,5,approved,0,0
e4aa7664-5466-4b74-a1e3-90af2ddee5a2,794,0.206,5,approved,0,0
ef7539a0-6386-418a-8abd-e92cf41bf658,624,0.376,4,approved,0,0
b424ddaa-d83e-4db9-800d-c2e05b0abd33,760,0.24,5,approved,0,0
92f558a8-9918-4b69-8753-a4b2e49e0e95,902,0.098,5,approved,0,0
da26213c-82bd-47d2-995d-14839794d31e,720,0.28,5,approved,0,0
72ef2be0-7f97-411b-84f2-620af82d4a55,614,0.386,4,approved,0,0
2900333b-f95b-4eb3-a891-ef4e809c1358,620,0.38,4,approved,0,0
18dac0fc-e252-4ee5-a567-73bf37baeb33,653,0.347,4,approved,0,0
b1092a8d-7e34-472e-92ab-9169a6369cc8,738,0.262,5,approved,0,0
08818f69-9c51-4168-87a4-6a4be295ad9f,920,0.08,5,approved,0,0
6ea0d666-601d-44ec-9bd4-aabfaf346c30,847,0.153,5,approved,0,0
ea8eed71-3343-4b19-805c-108335e5f50c,575,0.425,3,approved,0,0
a1c19663-0907-4b8b-887f-8048bcb946ef,551,0.449,3,approved,0,0
76ad0369-0177-4129-9e54-3ff5db299c5e,674,0.326,5,approved,0,0
e3344477-aea3-467f-95cc-77554d04ed75,591,0.409,4,approved,0,0
7c0c3a0d-7f94-401f-b7a4-2201328a4573,785,0.215,5,approved,0,0
5da971ee-8f1f-4c05-a1c6-2ffdb638d37c,716,0.284,5,approved,0,0
7edd9152-2539-4435-9226-af83701eb534,791,0.209,5,approved,0,0
19762064-6716-4ce0-9f48-151a590221c9,839,0.161,5,approved,0,0
0f5689f6-d103-4302-925d-a6edf609f1d1,794,0.206,5,approved,0,0
c98e0044-7de9-47be-8a5a-e08653e436d6,686,0.314,5,approved,0,0
db7b906e-9e15-45df-a02b-37e6a1ce8824,642,0.358,4,approved,0,1
3c6e64ff-127f-415d-b270-665868730b52,805,0.195,5,approved,0,0
4a235615-f1f4-4788-a108-eba6a8fb1a70,565,0.435,3,approved,0,0
fb3c1753-bd00-4e52-975a-615dfc63abc7,850,0.15,5,approved,0,0
0b2cc9d8-cf96-4385-9067-b78dba24792b,543,0.457,3,approved,0,0
e29fe300-d610-42f4-aa19-de73fb2bd6f4,772,0.228,5,approved,0,0
4c5dda77-6d64-4787-a4a4-ee9438ce2c47,900,0.1,5,approved,0,0
917ae2ec-69ff-42ac-89be-b4a635ff01d2,551,0.449,3,approved,0,0
727149a1-a77f-4d79-baca-04b3d313290a,696,0.304,5,approved,0,0
65587247-93de-41ea-98fe-9f63aa619557,988,0.012,5,approved,0,0
40db87a7-345b-4504-8f7d-251689f8e4eb,651,0.349,4,approved,0,0
829a6684-2f44-465b-a829-7c9de32d3b93,698,0.302,5,approved,0,0
be54c4a5-ed47-4be2-9bc6-3342bc8c5720,612,0.388,4,approved,0,1
ab75838d-b50b-4cc2-9331-12579d6b77f0,914,0.086,5,approved,0,0
8e4a1b55-a743-4d6e-8304-bfc1d47c634e,669,0.331,5,approved,0,0
178092a2-dea8-401d-b61d-bebe42ec31c7,717,0.283,5,approved,0,0
73466d75-53bf-411e-ab58-06c8b3cebe35,551,0.449,3,approved,0,0
3f059440-fa0d-401c-95bc-27992cfc4357,656,0.344,5,approved,0,1
8acd5d39-24ff-44f2-81b1-4f3c958cf899,823,0.177,5,approved,0,0
