,bin5,bin4,bin3,bin2,bin1
jan,0,0,0,1,2
feb,0,0,0,0,0
mar,0,0,0,0,0
apr,0,0,0,1,0
may,0,0,0,0,0
jun,0,0,0,0,0
jul,0,0,0,1,1
aug,0,0,0,0,0
sept,0,0,0,0,0
oct,0,0,0,0,0
nov,0,0,0,0,0
